phase,account_node,account_id,is_fraud_account,degree,weighted_degree,connected_device_count,connected_ip_count,connected_merchant_count,shared_device_count,shared_ip_count,proj_degree,proj_weighted_degree,community_id_louvain,community_id_lpa
T2,account:c7ee8005-7124-4160-b143-2a256cff3078,c7ee8005-7124-4160-b143-2a256cff3078,False,8,18.0,2,3,3,2,2,77,80,46,0
T2,account:b8be4d23-db52-4eb3-9a46-21190d673547,b8be4d23-db52-4eb3-9a46-21190d673547,False,5,9.0,2,1,2,2,1,64,64,69,0
T2,account:3b09b254-2b70-4f7a-ac69-c21564782837,3b09b254-2b70-4f7a-ac69-c21564782837,False,4,6.0,1,2,1,1,1,25,25,0,0
T2,account:32733dd8-fac5-4107-bc35-e6ecc83828a5,32733dd8-fac5-4107-bc35-e6ecc83828a5,False,4,12.0,1,1,2,1,1,52,52,65,0
T2,account:5ff382b9-8470-46f2-a01b-ee0a6978af9c,5ff382b9-8470-46f2-a01b-ee0a6978af9c,False,9,15.0,4,2,3,4,2,87,88,73,0
T2,account:098a0eac-6fc0-4efa-b050-7f5a850f01af,098a0eac-6fc0-4efa-b050-7f5a850f01af,False,3,3.0,1,1,1,1,1,35,35,82,0
T2,account:cd0005d0-0e60-4406-8bee-6ae57d016367,cd0005d0-0e60-4406-8bee-6ae57d016367,False,5,9.0,1,2,2,1,2,47,47,66,0
T2,account:846dc7e6-0780-4556-8e0a-d78be1eb65cf,846dc7e6-0780-4556-8e0a-d78be1eb65cf,False,6,15.0,2,1,3,2,0,77,77,18,0
T2,account:84c91dbf-a1db-495e-ba51-f547e86e17be,84c91dbf-a1db-495e-ba51-f547e86e17be,False,3,3.0,1,1,1,1,1,28,28,10,0
T2,account:ae22fce3-53c8-463d-b273-6e3db1742f62,ae22fce3-53c8-463d-b273-6e3db1742f62,False,8,15.0,2,4,2,2,4,78,80,73,0
T2,account:3c8f01fc-9b35-4e1c-a63d-92926d56d3ab,3c8f01fc-9b35-4e1c-a63d-92926d56d3ab,False,6,15.0,1,2,3,1,2,67,68,46,0
T2,account:5b808fcd-b85a-45fb-91c2-434d81a9f184,5b808fcd-b85a-45fb-91c2-434d81a9f184,False,3,3.0,1,1,1,1,1,35,35,69,0
T2,account:5c1d6c75-a891-4fe8-a8a9-23c0af5f1f35,5c1d6c75-a891-4fe8-a8a9-23c0af5f1f35,False,6,9.0,2,2,2,2,2,56,56,27,0
T2,account:e56312f7-0399-4f3a-8eac-11504ec3af74,e56312f7-0399-4f3a-8eac-11504ec3af74,False,4,6.0,1,1,2,1,1,48,48,22,0
T2,account:36e2f49c-813a-40ce-b470-8d4735050eec,36e2f49c-813a-40ce-b470-8d4735050eec,False,5,15.0,1,2,2,1,2,49,49,26,0
T2,account:99923b2e-85d9-4fb8-b982-eab6d2bfd373,99923b2e-85d9-4fb8-b982-eab6d2bfd373,False,7,12.0,3,1,3,3,1,79,79,81,0
T2,account:713f91f9-626d-406b-83dd-26e255faf869,713f91f9-626d-406b-83dd-26e255faf869,False,7,18.0,2,2,3,2,2,62,62,26,0
T2,account:e55f64cf-ba06-4e0e-9324-f70b8c43dcb6,e55f64cf-ba06-4e0e-9324-f70b8c43dcb6,False,3,3.0,1,1,1,1,1,27,27,38,0
T2,account:b99b070e-5b14-4161-adf8-4e696ce63783,b99b070e-5b14-4161-adf8-4e696ce63783,False,3,3.0,1,1,1,1,0,25,25,81,0
T2,account:460a20e5-3215-4bae-8c76-9ca1961969ba,460a20e5-3215-4bae-8c76-9ca1961969ba,False,4,12.0,1,2,1,1,2,35,35,4,0
T2,account:998ee419-7758-46f6-86a2-4834c2795533,998ee419-7758-46f6-86a2-4834c2795533,False,5,6.0,1,2,2,1,1,54,54,82,0
T2,account:3932a2c5-af96-4439-8b24-59ba5c89fb8d,3932a2c5-af96-4439-8b24-59ba5c89fb8d,False,5,15.0,1,1,3,1,1,62,63,69,0
T2,account:e93da551-d4a1-4d60-8dfc-d1af829540dc,e93da551-d4a1-4d60-8dfc-d1af829540dc,False,8,9.0,3,2,3,3,2,96,97,63,0
T2,account:bc5d6d03-3c99-453f-8a3d-a40e7b025af0,bc5d6d03-3c99-453f-8a3d-a40e7b025af0,False,4,21.0,1,2,1,1,2,41,41,3,0
T2,account:cd3cf048-006e-48d5-af6f-12aa3ac4957d,cd3cf048-006e-48d5-af6f-12aa3ac4957d,False,6,12.0,1,2,3,1,2,72,76,4,0
T2,account:f7cb442b-eeae-4241-905e-b4e00b445dd3,f7cb442b-eeae-4241-905e-b4e00b445dd3,False,8,18.0,2,3,3,2,3,81,81,22,0
T2,account:3a846f8c-edd1-4927-acb6-2ec8684036ab,3a846f8c-edd1-4927-acb6-2ec8684036ab,False,6,6.0,2,2,2,2,2,44,44,63,0
T2,account:076c3350-cabd-4d52-a005-ff2cf1acb11e,076c3350-cabd-4d52-a005-ff2cf1acb11e,False,5,6.0,2,1,2,2,1,57,57,46,0
T2,account:656a8116-347e-4784-bd55-9f003fd875f7,656a8116-347e-4784-bd55-9f003fd875f7,False,3,6.0,1,1,1,1,1,25,25,42,0
T2,account:473c0211-4071-4e3f-b9b5-be16ce00dd2c,473c0211-4071-4e3f-b9b5-be16ce00dd2c,False,4,6.0,1,1,2,1,1,52,52,37,0
T2,account:484df662-b8ca-4eaf-a5ba-a039b9260dba,484df662-b8ca-4eaf-a5ba-a039b9260dba,False,6,12.0,1,2,3,1,2,64,64,65,0
T2,account:19f5e0dc-005b-4324-82f3-acea6acad174,19f5e0dc-005b-4324-82f3-acea6acad174,False,3,3.0,1,1,1,1,1,36,36,46,0
T2,account:82e6a95c-5eb4-43b8-bb74-536275b854ec,82e6a95c-5eb4-43b8-bb74-536275b854ec,False,6,18.0,2,1,3,2,1,74,75,63,0
T2,account:75c372d2-6df8-4b3b-950e-f64a7feae6ce,75c372d2-6df8-4b3b-950e-f64a7feae6ce,False,8,12.0,3,2,3,3,2,69,69,69,0
T2,account:82b3327c-2d8e-4706-ab49-d2a5482d5817,82b3327c-2d8e-4706-ab49-d2a5482d5817,False,5,9.0,1,2,2,1,2,60,60,41,0
T2,account:16e13ff2-e6c9-4aea-abb2-0044b64e939c,16e13ff2-e6c9-4aea-abb2-0044b64e939c,False,5,6.0,2,1,2,2,1,51,51,0,0
T2,account:5335f919-c1b0-48a4-b7e5-68642d08c872,5335f919-c1b0-48a4-b7e5-68642d08c872,False,3,3.0,1,1,1,1,1,20,20,18,0
T2,account:5a333e0c-67d5-423e-a6d3-c2f51e155c27,5a333e0c-67d5-423e-a6d3-c2f51e155c27,False,4,6.0,1,2,1,1,2,34,36,73,0
T2,account:3bd13bd3-0d31-4d5b-ad0f-5cdd0d3b6ad9,3bd13bd3-0d31-4d5b-ad0f-5cdd0d3b6ad9,False,4,21.0,2,1,1,2,1,34,34,26,0
T2,account:d6349704-c681-4cd7-a0ef-5d63304baa16,d6349704-c681-4cd7-a0ef-5d63304baa16,False,5,6.0,1,2,2,1,2,48,48,3,0
T2,account:d29b52b7-3d94-4aa7-82b5-24c4ceaab8e6,d29b52b7-3d94-4aa7-82b5-24c4ceaab8e6,False,7,12.0,2,2,3,2,2,61,62,78,0
T2,account:ebc08841-9a69-4061-b03c-cca9c34e9577,ebc08841-9a69-4061-b03c-cca9c34e9577,False,3,3.0,1,1,1,1,1,31,32,26,0
T2,account:d468e169-b714-4065-8f24-0a3ea23b6ad6,d468e169-b714-4065-8f24-0a3ea23b6ad6,False,8,15.0,3,3,2,3,3,57,58,65,0
T2,account:404c7bcc-2d6d-4fda-a76a-6b32ba89a4fe,404c7bcc-2d6d-4fda-a76a-6b32ba89a4fe,False,0,0.0,0,0,0,0,0,0,0,1,1
T2,account:80c1311b-0fd8-4015-b178-bd3dae90f7e6,80c1311b-0fd8-4015-b178-bd3dae90f7e6,False,0,0.0,0,0,0,0,0,0,0,2,2
T2,account:cc9b05b3-2bf4-455c-974a-09d5a7a376ce,cc9b05b3-2bf4-455c-974a-09d5a7a376ce,False,3,3.0,1,1,1,1,1,24,24,3,0
T2,account:8289a4d6-f054-4376-8faa-53e8c2c94082,8289a4d6-f054-4376-8faa-53e8c2c94082,False,5,6.0,2,2,1,2,2,39,39,63,0
