phase,community_id,size,fraud_account_count,fraud_ratio,density,unique_devices,unique_ips,unique_merchants,shared_device_count,shared_ip_count,shared_device_ratio,shared_ip_ratio,avg_proj_degree
T3,44,167,0,0.0,0.1202,179,226,101,53,31,0.2961,0.1372,53.38
T3,56,156,0,0.0,0.0995,180,214,80,36,33,0.2,0.1542,46.46
T3,13,151,0,0.0,0.1242,177,209,90,45,32,0.2542,0.1531,51.48
T3,70,137,0,0.0,0.1666,162,206,91,36,28,0.2222,0.1359,57.38
T3,1,127,0,0.0,0.1562,152,175,85,40,18,0.2632,0.1029,54.37
T3,69,121,10,0.0826,0.2242,152,174,93,26,28,0.1711,0.1609,62.88
T3,63,112,0,0.0,0.154,141,149,72,17,20,0.1206,0.1342,48.79
T3,58,112,0,0.0,0.1911,146,177,89,30,16,0.2055,0.0904,58.41
T3,3,106,0,0.0,0.1987,134,157,78,27,17,0.2015,0.1083,54.39
T3,78,98,0,0.0,0.1856,127,153,64,18,10,0.1417,0.0654,49.85
T3,53,93,0,0.0,0.2122,123,141,76,22,13,0.1789,0.0922,56.23
T3,8,88,0,0.0,0.2035,114,131,63,20,12,0.1754,0.0916,51.17
T3,50,77,0,0.0,0.2321,107,109,65,12,12,0.1121,0.1101,54.92
T3,38,75,0,0.0,0.2285,106,110,69,17,8,0.1604,0.0727,53.0
T3,71,73,0,0.0,0.1663,100,108,54,16,11,0.16,0.1019,47.48
T3,55,70,0,0.0,0.234,94,101,69,16,9,0.1702,0.0891,54.73
T3,34,68,0,0.0,0.3586,99,101,68,12,7,0.1212,0.0693,61.5
T3,43,56,0,0.0,0.3234,82,100,48,13,3,0.1585,0.03,56.14
T3,77,48,0,0.0,0.4158,64,70,44,5,2,0.0781,0.0286,55.12
T3,2,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,19,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,18,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,17,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,16,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,15,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,14,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,12,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,11,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,5,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,10,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,9,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,7,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,4,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,6,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,0,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,20,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,35,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,33,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,32,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,31,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,39,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,40,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,22,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,21,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,27,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,28,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,30,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,29,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,24,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,25,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,26,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,23,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,51,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,49,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,48,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,47,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,45,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,46,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,41,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,42,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,36,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,37,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,61,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,60,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,59,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,54,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,57,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,52,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,67,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,66,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,65,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,64,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,62,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,73,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,72,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,68,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,75,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,74,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,76,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,79,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,80,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,81,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,82,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,83,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
