feature,importance,gene_group
graph_connected_ips,0.36001068,Graph
net_unique_ip_count,0.23883604,Network
tx_velocity,0.114838324,Transaction
acct_kyc_unverified,0.050490446,Account
tx_time_spread_hours,0.035023768,Transaction
net_tx_per_ip,0.018205982,Network
acct_active_days,0.018011726,Account
tx_amount_concentration,0.016853401,Transaction
acct_amount_total,0.016839208,Account
acct_tx_count,0.013648284,Account
merch_avg_age_days,0.013496349,Merchant
net_shared_ip_ratio,0.009456497,Network
merch_top_category,0.008442116,Merchant
acct_amount_std,0.007934025,Account
net_ip_concentration,0.006320112,Network
tx_amount_mean,0.0060853087,Transaction
dev_tx_per_device,0.0052980995,Device
graph_connected_merchants,0.0052338853,Graph
tx_hour_mode,0.004920775,Transaction
dev_max_accts_per_device,0.0045757927,Device
dev_shared_count,0.004210843,Device
acct_age_days,0.003997983,Account
dev_concentration,0.0038991636,Device
graph_proj_weighted_degree,0.0038603058,Graph
dev_unique_count,0.0038348958,Device
graph_community_shared_device_ratio,0.0037692827,Community
merch_concentration,0.003755265,Merchant
graph_proj_degree,0.0036421523,Graph
acct_tx_velocity,0.003274592,Account
graph_community_size,0.0020254706,Community
graph_community_shared_ip_ratio,0.002024298,Community
merch_max_accts_per_merchant,0.0019663894,Merchant
acct_amount_avg,0.0018329829,Account
graph_degree,0.0013843181,Graph
graph_community_density,0.00097226317,Community
tx_amount_max,0.0005679672,Transaction
tx_weekend_ratio,0.00021456125,Transaction
net_max_accts_per_ip,0.00014110414,Network
net_shared_ip_count,0.00010531759,Network
dev_shared_ratio,0.0,Device
merch_unique_count,0.0,Merchant
graph_weighted_degree,0.0,Graph
graph_connected_devices,0.0,Graph
graph_shared_devices,0.0,Graph
graph_shared_ips,0.0,Graph
