feature,gene_group,t2_mean,t3_mean,t2_std,t3_std,mean_diff,norm_mean_diff,wasserstein_dist,ks_stat,drift_score
graph_community_shared_ip_ratio,Community,0.491479,0.642978,0.186388,0.234888,0.151499,0.812773,0.158771,0.4335,0.612848
graph_community_size,Community,0.488804,0.616859,0.146403,0.236082,0.128054,0.874613,0.138022,0.3835,0.593212
graph_community_shared_device_ratio,Community,0.586661,0.693041,0.168482,0.25849,0.10638,0.631366,0.126007,0.4915,0.580124
tx_weekend_ratio,Transaction,0.398593,0.197569,0.31361,0.251551,0.201025,0.640982,0.200947,0.3145,0.49031
graph_community_density,Community,0.236039,0.212122,0.094066,0.138578,0.023917,0.254231,0.043121,0.329,0.318451
acct_age_days,Account,0.503722,0.604717,0.230711,0.230705,0.100995,0.437737,0.101001,0.146,0.276913
merch_avg_age_days,Merchant,0.444084,0.532238,0.217461,0.222503,0.088154,0.405358,0.088369,0.155,0.267909
net_max_accts_per_ip,Network,0.391833,0.381,0.164384,0.172679,0.010833,0.065898,0.016822,0.071,0.074907
merch_max_accts_per_merchant,Merchant,0.698952,0.701,0.177428,0.174494,0.002048,0.011544,0.01174,0.052,0.042428
relational_stability_score,Other,0.700334,0.702259,0.171107,0.16869,0.001925,0.011248,0.010014,0.0445,0.036754
acct_amount_std,Account,0.319653,0.327137,0.207164,0.208236,0.007484,0.036122,0.007733,0.032,0.035952
merch_concentration,Merchant,0.68956,0.679615,0.266931,0.269253,0.009944,0.037253,0.009841,0.0265,0.033365
merch_persistence_score,Merchant,0.487169,0.482878,0.190552,0.190626,0.004291,0.022518,0.007508,0.0315,0.031009
tx_amount_max,Transaction,0.709461,0.716404,0.256605,0.259171,0.006943,0.027056,0.008808,0.0285,0.030954
graph_proj_degree,Graph,0.327372,0.333263,0.145115,0.152086,0.005891,0.040593,0.006858,0.0225,0.030817
merch_top_category,Merchant,1.262,1.234,1.086902,1.092815,0.028,0.025761,0.028,0.019,0.030587
graph_proj_weighted_degree,Graph,0.320944,0.326677,0.14372,0.150821,0.005733,0.039887,0.006741,0.0225,0.030543
net_ip_concentration,Network,0.774039,0.780895,0.251748,0.254924,0.006856,0.027234,0.008977,0.0265,0.029737
genome_drift_score,Other,0.683553,0.684,0.158337,0.156759,0.000447,0.002823,0.006536,0.039,0.029119
net_unique_ip_count,Network,0.3218,0.3174,0.154547,0.157789,0.0044,0.028468,0.006414,0.026,0.028961
graph_connected_ips,Graph,0.3218,0.3174,0.154547,0.157789,0.0044,0.028468,0.006414,0.026,0.028961
net_ip_persistence_score,Network,0.342388,0.338063,0.143281,0.14409,0.004325,0.030183,0.005211,0.024,0.027798
dev_concentration,Device,0.818388,0.811073,0.24798,0.253758,0.007314,0.029494,0.007236,0.0215,0.026577
net_tx_per_ip,Network,0.221432,0.224653,0.134664,0.134145,0.003222,0.023922,0.005452,0.025,0.026458
topology_drift_score,Other,0.268803,0.272459,0.117039,0.122887,0.003656,0.031233,0.004884,0.019,0.024706
net_shared_ip_count,Network,0.308,0.3044,0.158038,0.159939,0.0036,0.022778,0.005183,0.0225,0.02432
graph_shared_ips,Graph,0.308,0.3044,0.158038,0.159939,0.0036,0.022778,0.005183,0.0225,0.02432
tx_amount_mean,Transaction,0.48399,0.486174,0.195902,0.20042,0.002185,0.011151,0.006237,0.027,0.023796
acct_amount_avg,Account,0.48399,0.486174,0.195902,0.20042,0.002185,0.011151,0.006237,0.027,0.023796
dev_tx_per_device,Device,0.122903,0.120241,0.080498,0.072864,0.002662,0.033066,0.004317,0.017,0.023794
graph_connected_merchants,Graph,0.324,0.32925,0.165736,0.171099,0.00525,0.031675,0.006226,0.014,0.021967
merch_unique_count,Merchant,0.324,0.32925,0.165736,0.171099,0.00525,0.031675,0.006226,0.014,0.021967
acct_amount_total,Account,0.170841,0.16904,0.11259,0.104935,0.001801,0.015991,0.005048,0.02,0.020346
tx_time_spread_hours,Transaction,0.456368,0.457826,0.301196,0.295886,0.001458,0.004841,0.008641,0.0235,0.020161
dev_max_accts_per_device,Device,0.493033,0.49,0.183098,0.180413,0.003033,0.016566,0.005986,0.0185,0.01985
tx_amount_concentration,Transaction,0.525603,0.522736,0.254435,0.249386,0.002866,0.011265,0.00639,0.02,0.019218
tx_hour_mode,Transaction,0.301152,0.304435,0.265186,0.270741,0.003283,0.012378,0.008154,0.0185,0.019177
acct_active_days,Account,0.2876,0.28435,0.14962,0.141598,0.00325,0.02172,0.00579,0.0135,0.01817
