account_id,acct_tx_count,acct_tx_velocity,acct_active_days,acct_amount_total,acct_amount_avg,acct_amount_std,acct_age_days,acct_kyc_unverified,dev_unique_count,dev_tx_per_device,dev_max_accts_per_device,dev_shared_count,dev_shared_ratio,dev_concentration,net_unique_ip_count,net_tx_per_ip,net_max_accts_per_ip,net_shared_ip_count,net_shared_ip_ratio,net_ip_concentration,tx_velocity,tx_amount_mean,tx_amount_max,tx_amount_concentration,tx_time_spread_hours,tx_hour_mode,tx_weekend_ratio,merch_unique_count,merch_concentration,merch_max_accts_per_merchant,merch_top_category,merch_avg_age_days,graph_degree,graph_weighted_degree,graph_connected_devices,graph_connected_ips,graph_connected_merchants,graph_shared_devices,graph_shared_ips,graph_proj_degree,graph_proj_weighted_degree,graph_community_size,graph_community_density,graph_community_fraud_ratio,graph_community_shared_device_ratio,graph_community_shared_ip_ratio,phase,is_fraud_account,fraud_cluster_id,device_drift_score,network_drift_score,merchant_drift_score,graph_drift_score,community_drift_score,account_drift_score,transaction_drift_score,behavioral_drift_score,relational_drift_score,account_genome_drift,relational_anomaly_score,net_ip_persistence_score,merch_persistence_score,dev_mutation_score,relational_stability_score,topology_drift_score,behavioral_shift_score,genome_drift_score
3293e810-8fb4-42d6-b5c3-11b967920cec,6.0,0.6666666666666666,4.0,13056.94,2176.1566666666668,2074.8623109466007,57,0,2.0,3.0,10.0,2.0,1.0,0.8333333333333334,3.0,2.0,4.0,3.0,1.0,0.5,0.6666666666666666,2176.1566666666668,4632.77,0.3548128428253481,209.78277777777777,12.0,0.5,2.0,0.5,20.0,3.0,56.0,7,18.0,2,3,2,2,3,58,58,121,0.1362,0.0,0.2722,0.12,T1,False,none,0.506329,0.937252,0.605517,0.933469,0.710775,0.945912,0.902305,0.805781,0.828976,0.818152,0.552315,1.333333,10.0,0.125,7.0,19.333333,1.333307,2.819444
087b38e2-9611-4614-b0d1-e678fe4359f1,3.0,0.3333333333333333,3.0,4669.3,1556.4333333333334,2516.159138972202,32,0,1.0,3.0,11.0,1.0,1.0,1.0,2.0,1.5,2.0,2.0,1.0,0.6666666666666666,0.3333333333333333,1556.4333333333334,4461.66,0.9555308076157025,120.91083333333333,6.0,0.3333333333333333,2.0,0.6666666666666666,30.0,0.0,64.33333333333333,5,9.0,1,2,2,1,2,58,58,66,0.3865,0.0,0.1807,0.0805,T1,False,none,0.656964,0.621818,0.761797,0.382615,0.881303,0.715235,0.583707,0.654744,0.604526,0.627961,0.515852,1.5,20.0,0.166667,10.333333,29.0,0.499993,4.0
d544c8f4-67ea-4616-bff8-1781d458079c,2.0,0.2222222222222222,2.0,1161.92,580.96,321.7053011686317,15,1,1.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.5,0.2222222222222222,580.96,808.44,0.6957793996144312,37.756388888888885,1.0,0.0,2.0,0.5,25.0,0.0,27.0,5,6.0,1,2,2,1,2,52,52,103,0.2271,0.0,0.2014,0.1192,T1,False,none,0.446607,0.709009,0.664581,0.385816,0.340525,1.08605,1.151784,0.925263,0.517142,0.707599,0.301751,1.5,12.5,0.166667,9.0,26.0,0.444436,3.555556
1aeeef32-ba70-48d6-9c7c-0a28be73e955,3.0,0.3333333333333333,2.0,4370.39,1456.7966666666669,681.2881550660729,37,0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,0.3333333333333333,1456.7966666666669,1907.01,0.4363477858955379,127.19222222222223,4.0,0.0,1.0,1.0,24.0,0.0,37.0,3,9.0,1,1,1,1,1,37,38,121,0.1362,0.0,0.2722,0.12,T1,False,none,0.656964,0.611593,0.804222,0.653961,0.710775,0.590963,0.605089,0.614529,0.684142,0.651656,0.286904,1.0,24.0,0.25,8.333333,18.5,0.33333,3.194444
5799f55c-506b-42a2-886b-e44c148beb85,6.0,0.6666666666666666,4.0,10037.75,1672.9583333333333,1239.955199923234,63,0,2.0,3.0,10.0,2.0,1.0,0.5,1.0,6.0,4.0,1.0,1.0,1.0,0.6666666666666666,1672.9583333333333,3372.83,0.33601454509227663,149.6447222222222,5.0,0.5,3.0,0.5,26.0,2.0,34.166666666666664,6,18.0,2,1,3,2,1,73,73,65,0.3611,0.0,0.0889,0.0707,T1,False,none,0.685922,0.904304,0.732034,0.862104,1.150198,0.824263,0.692137,0.740695,0.893572,0.822229,0.514593,0.666667,13.0,0.125,9.0,24.333333,1.333307,3.263889
2e94cfaf-3ab7-4d59-9501-ea5856cc3bfc,5.0,0.5555555555555556,5.0,10157.5,2031.5,1482.161857574941,45,0,1.0,5.0,6.0,1.0,1.0,1.0,2.0,2.5,7.0,2.0,1.0,0.6,0.5555555555555556,2031.5,3320.69,0.3269200098449422,187.4575,0.0,0.2,2.0,0.6,25.0,2.0,11.4,5,15.0,1,2,2,1,2,61,61,104,0.1637,0.0,0.1654,0.1067,T1,False,none,0.759027,0.583533,0.621927,0.492431,0.16037,0.715869,0.642986,0.703906,0.486841,0.588138,0.375178,1.5,15.0,0.1,8.666667,30.5,0.92591,3.422222
b43be182-9bb2-4581-95e9-491474acbfb2,6.0,0.6666666666666666,3.0,11842.89,1973.8149999999998,905.1392013773352,74,0,3.0,2.0,9.0,3.0,1.0,0.6666666666666666,4.0,1.5,7.0,4.0,1.0,0.5,0.6666666666666666,1973.8149999999998,2918.33,0.24642042609531964,125.48222222222222,8.0,0.3333333333333333,4.0,0.3333333333333333,25.0,1.0,50.166666666666664,11,18.0,3,4,4,3,4,91,94,143,0.1277,0.0,0.241,0.0927,T1,False,none,0.942944,1.554306,0.920392,2.301075,0.647942,0.813371,0.591712,0.776505,1.551219,1.189686,1.402481,1.25,8.333333,0.111111,8.666667,22.75,1.99994,3.342593
5e1bdc01-72ca-4101-ba81-2077e959ada6,6.0,0.6666666666666666,4.0,14120.56,2353.4266666666667,1421.9924136881557,21,0,2.0,3.0,7.0,2.0,1.0,0.5,3.0,2.0,3.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2353.4266666666667,4973.32,0.35220416187459985,153.18333333333334,3.0,0.16666666666666666,5.0,0.3333333333333333,29.0,0.0,43.0,10,18.0,2,3,5,2,2,117,117,143,0.1277,0.0,0.241,0.0927,T1,False,none,0.562005,0.804864,1.385326,1.865209,0.647942,0.943389,0.676202,0.74536,1.297269,1.039712,1.136741,0.888889,9.666667,0.055556,9.888889,39.0,1.99994,3.611111
6b0e34f4-bdcf-4610-945c-20d9d09d7a8e,4.0,0.4444444444444444,4.0,12364.86,3091.215,1646.11187656449,31,1,2.0,2.0,11.0,2.0,1.0,0.5,1.0,4.0,5.0,1.0,1.0,1.0,0.4444444444444444,3091.215,4555.18,0.36839721598141834,177.70083333333332,20.0,0.25,1.0,1.0,25.0,2.0,3.0,4,12.0,2,1,1,2,1,43,44,104,0.1637,0.0,0.1654,0.1067,T1,False,none,0.716002,0.650379,1.028553,0.568989,0.16037,0.684983,0.786356,0.727637,0.616976,0.668617,0.232827,0.666667,25.0,0.333333,9.0,14.333333,0.44444,3.333333
805fec30-97b7-4e16-ad7b-b22ce278381b,5.0,0.5555555555555556,4.0,11209.279999999999,2241.8559999999998,1229.3433757620367,23,0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,2.5,9.0,2.0,1.0,0.6,0.5555555555555556,2241.8559999999998,4368.65,0.38973511233549346,182.80916666666667,5.0,0.4,4.0,0.4,25.0,2.0,31.2,7,15.0,1,2,4,1,2,91,94,104,0.1637,0.0,0.1654,0.1067,T1,False,none,0.875546,0.739528,0.993362,1.131643,0.16037,0.706934,0.590899,0.71643,0.842927,0.783895,0.855091,1.5,10.0,0.066667,8.666667,45.5,1.388854,3.411111
