account_id,acct_tx_count,acct_tx_velocity,acct_active_days,acct_amount_total,acct_amount_avg,acct_amount_std,acct_age_days,acct_kyc_unverified,dev_unique_count,dev_tx_per_device,dev_max_accts_per_device,dev_shared_count,dev_shared_ratio,dev_concentration,net_unique_ip_count,net_tx_per_ip,net_max_accts_per_ip,net_shared_ip_count,net_shared_ip_ratio,net_ip_concentration,tx_velocity,tx_amount_mean,tx_amount_max,tx_amount_concentration,tx_time_spread_hours,tx_hour_mode,tx_weekend_ratio,merch_unique_count,merch_concentration,merch_max_accts_per_merchant,merch_top_category,merch_avg_age_days,graph_degree,graph_weighted_degree,graph_connected_devices,graph_connected_ips,graph_connected_merchants,graph_shared_devices,graph_shared_ips,graph_proj_degree,graph_proj_weighted_degree,graph_community_size,graph_community_density,graph_community_fraud_ratio,graph_community_shared_device_ratio,graph_community_shared_ip_ratio,phase,is_fraud_account,fraud_cluster_id,device_drift_score,network_drift_score,merchant_drift_score,graph_drift_score,community_drift_score,account_drift_score,transaction_drift_score,behavioral_drift_score,relational_drift_score,account_genome_drift,relational_anomaly_score,net_ip_persistence_score,merch_persistence_score,dev_mutation_score,relational_stability_score,topology_drift_score,behavioral_shift_score,genome_drift_score
89959efd-3723-4323-a287-621476700861,6.0,0.6666666666666666,4.0,13056.94,2176.1566666666668,2074.8623109466007,73,0,2.0,3.0,10.0,2.0,1.0,0.8333333333333334,3.0,2.0,4.0,3.0,1.0,0.5,0.6666666666666666,2176.1566666666668,4632.77,0.3548128428253481,209.78277777777777,2.0,0.3333333333333333,2.0,0.5,20.0,3.0,28.0,7,18.0,2,3,2,2,3,58,58,122,0.165,0.0,0.2552,0.0753,T1,False,none,0.506329,0.937252,0.634024,0.933469,0.760461,1.03764,0.839028,0.819633,0.843196,0.8322,0.504993,1.333333,10.0,0.125,7.0,19.333333,1.333307,2.819444
c13cdd44-51bf-4664-a933-b6b175cac407,3.0,0.3333333333333333,3.0,4669.3,1556.4333333333334,2516.159138972202,29,0,1.0,3.0,11.0,1.0,1.0,1.0,2.0,1.5,2.0,2.0,1.0,0.6666666666666666,0.3333333333333333,1556.4333333333334,4461.66,0.9555308076157025,120.91083333333333,15.0,0.3333333333333333,2.0,0.6666666666666666,30.0,0.0,46.333333333333336,5,9.0,1,2,2,1,2,58,58,96,0.2511,0.0,0.1818,0.0853,T1,False,none,0.656964,0.621818,0.60849,0.382615,0.278102,0.729978,0.769645,0.722339,0.472054,0.588854,0.382702,1.5,20.0,0.166667,10.333333,29.0,0.499993,4.0
93e3be88-9840-4578-82bf-4081b7ef1f3b,2.0,0.2222222222222222,2.0,1161.92,580.96,321.7053011686317,60,1,1.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.5,0.2222222222222222,580.96,808.44,0.6957793996144312,37.756388888888885,9.0,0.0,2.0,0.5,25.0,0.0,42.5,5,6.0,1,2,2,1,2,52,52,109,0.2113,0.0,0.2109,0.1173,T1,False,none,0.446607,0.709009,0.530234,0.385816,0.598276,0.965636,1.044249,0.843546,0.532111,0.677448,0.333017,1.5,12.5,0.166667,9.0,26.0,0.444436,3.555556
8b2881c9-bd24-4021-ab2d-e5cced4c3827,3.0,0.3333333333333333,2.0,4370.39,1456.7966666666669,681.2881550660729,14,0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,0.3333333333333333,1456.7966666666669,1907.01,0.4363477858955379,127.19222222222223,20.0,0.0,1.0,1.0,24.0,0.0,55.0,3,9.0,1,1,1,1,1,37,38,96,0.2511,0.0,0.1818,0.0853,T1,False,none,0.656964,0.611593,0.856502,0.653961,0.278102,0.715228,0.814924,0.731813,0.622922,0.673738,0.298753,1.0,24.0,0.25,8.333333,18.5,0.33333,3.194444
8108893f-0b2a-49bf-b220-eac4d1fee25e,6.0,0.6666666666666666,4.0,10037.75,1672.9583333333333,1239.955199923234,63,0,2.0,3.0,10.0,2.0,1.0,0.5,1.0,6.0,4.0,1.0,1.0,1.0,0.6666666666666666,1672.9583333333333,3372.83,0.33601454509227663,149.6447222222222,14.0,0.6666666666666666,3.0,0.5,26.0,2.0,32.333333333333336,6,18.0,2,1,3,2,1,73,73,56,0.4539,0.0,0.0633,0.0556,T1,False,none,0.685922,0.904304,0.751785,0.862104,1.732629,0.828826,0.931541,0.822235,0.994759,0.914247,0.616932,0.666667,13.0,0.125,9.0,24.333333,1.333307,3.263889
601ec785-6be7-4251-82b6-883b9a7204b0,5.0,0.5555555555555556,5.0,10157.5,2031.5,1482.161857574941,52,0,1.0,5.0,6.0,1.0,1.0,1.0,2.0,2.5,7.0,2.0,1.0,0.6,0.5555555555555556,2031.5,3320.69,0.3269200098449422,187.4575,3.0,0.4,2.0,0.6,25.0,2.0,33.4,5,15.0,1,2,2,1,2,61,61,122,0.165,0.0,0.2552,0.0753,T1,False,none,0.759027,0.583533,0.435386,0.492431,0.760461,0.719465,0.670668,0.714503,0.547994,0.625698,0.355528,1.5,15.0,0.1,8.666667,30.5,0.92591,3.422222
e283e3a7-cf4e-4cc2-b03e-4fe871494630,6.0,0.6666666666666666,3.0,11842.89,1973.8149999999998,905.1392013773352,45,0,3.0,2.0,9.0,3.0,1.0,0.6666666666666666,4.0,1.5,7.0,4.0,1.0,0.5,0.6666666666666666,1973.8149999999998,2918.33,0.24642042609531964,125.48222222222222,3.0,0.3333333333333333,4.0,0.3333333333333333,25.0,1.0,44.0,11,18.0,3,4,4,3,4,91,94,136,0.1373,0.0,0.2201,0.0867,T1,False,none,0.942944,1.554306,0.86827,2.301075,0.705122,0.695285,0.685388,0.762746,1.54989,1.182556,1.402481,1.25,8.333333,0.111111,8.666667,22.75,1.99994,3.342593
fae12549-0c2d-47e8-9c26-7e20b231d700,6.0,0.6666666666666666,5.0,14120.56,2353.4266666666667,1421.9924136881557,68,0,2.0,3.0,7.0,2.0,1.0,0.5,3.0,2.0,3.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2353.4266666666667,4973.32,0.35220416187459985,153.18333333333334,2.0,0.0,5.0,0.3333333333333333,29.0,0.0,38.666666666666664,10,18.0,2,3,5,2,2,117,117,136,0.1373,0.0,0.2201,0.0867,T1,False,none,0.562005,0.804864,1.423925,1.865209,0.705122,0.98732,0.769703,0.793263,1.314841,1.071438,1.136741,0.888889,9.666667,0.055556,9.888889,39.0,1.99994,3.611111
ec6dabac-1827-4fe3-9833-2afc96c30dff,4.0,0.4444444444444444,3.0,12364.86,3091.215,1646.11187656449,14,1,2.0,2.0,11.0,2.0,1.0,0.5,1.0,4.0,5.0,1.0,1.0,1.0,0.4444444444444444,3091.215,4555.18,0.36839721598141834,177.70083333333332,4.0,0.0,1.0,1.0,25.0,2.0,13.0,4,12.0,2,1,1,2,1,43,44,122,0.165,0.0,0.2552,0.0753,T1,False,none,0.716002,0.650379,0.954484,0.568989,0.760461,0.691473,0.65504,0.686337,0.70156,0.694456,0.213178,0.666667,25.0,0.333333,9.0,14.333333,0.44444,3.333333
38887a37-1969-4914-b9f0-155e74efd5d8,5.0,0.5555555555555556,4.0,11209.279999999999,2241.8559999999998,1229.3433757620367,64,0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,2.5,9.0,2.0,1.0,0.6,0.5555555555555556,2241.8559999999998,4368.65,0.38973511233549346,182.80916666666667,5.0,0.2,4.0,0.4,25.0,2.0,26.6,7,15.0,1,2,4,1,2,91,94,122,0.165,0.0,0.2552,0.0753,T1,False,none,0.875546,0.739528,1.039492,1.131643,0.760461,0.653498,0.508199,0.668507,0.952553,0.819998,0.835441,1.5,10.0,0.066667,8.666667,45.5,1.388854,3.411111
