account_id,acct_tx_count,acct_tx_velocity,acct_active_days,acct_amount_total,acct_amount_avg,acct_amount_std,acct_age_days,acct_kyc_unverified,dev_unique_count,dev_tx_per_device,dev_max_accts_per_device,dev_shared_count,dev_shared_ratio,dev_concentration,net_unique_ip_count,net_tx_per_ip,net_max_accts_per_ip,net_shared_ip_count,net_shared_ip_ratio,net_ip_concentration,tx_velocity,tx_amount_mean,tx_amount_max,tx_amount_concentration,tx_time_spread_hours,tx_hour_mode,tx_weekend_ratio,merch_unique_count,merch_concentration,merch_max_accts_per_merchant,merch_top_category,merch_avg_age_days,graph_degree,graph_weighted_degree,graph_connected_devices,graph_connected_ips,graph_connected_merchants,graph_shared_devices,graph_shared_ips,graph_proj_degree,graph_proj_weighted_degree,graph_community_size,graph_community_density,graph_community_fraud_ratio,graph_community_shared_device_ratio,graph_community_shared_ip_ratio,phase,is_fraud_account,fraud_cluster_id,net_ip_persistence_score,merch_persistence_score,dev_mutation_score,relational_stability_score,topology_drift_score,behavioral_shift_score,genome_drift_score
c7ee8005-7124-4160-b143-2a256cff3078,6.0,0.6666666666666666,5.0,14609.36,2434.8933333333334,1491.719883070098,94,0,2.0,3.0,12.0,2.0,1.0,0.8333333333333334,3.0,2.0,5.0,2.0,0.6666666666666666,0.5,0.6666666666666666,2434.8933333333334,4984.75,0.3412024893629837,221.235,7.0,0.3333333333333333,3.0,0.6666666666666666,20.0,3.0,83.33333333333333,8,18.0,2,3,3,2,2,77,80,75,0.2032,0.0,0.1287,0.0684,T2,False,none,0.888889,13.333333,0.111111,6.888889,25.666667,0.999985,2.62963
b8be4d23-db52-4eb3-9a46-21190d673547,3.0,0.3333333333333333,3.0,8715.65,2905.2166666666667,1853.8950488723283,29,0,2.0,1.5,13.0,2.0,1.0,0.6666666666666666,1.0,3.0,2.0,1.0,1.0,1.0,0.3333333333333333,2905.2166666666667,4134.48,0.474374257800623,192.33416666666668,20.0,0.6666666666666666,2.0,0.6666666666666666,31.0,0.0,51.0,5,9.0,2,1,2,2,1,64,64,116,0.1649,0.0086,0.1597,0.0888,T2,False,none,0.666667,20.666667,0.266667,10.666667,21.333333,0.499993,3.866667
3b09b254-2b70-4f7a-ac69-c21564782837,2.0,0.2222222222222222,2.0,2358.04,1179.02,459.78911339874077,80,1,1.0,2.0,8.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.5,0.5,0.2222222222222222,1179.02,1504.14,0.6378772200641211,26.159444444444443,16.0,0.5,1.0,1.0,17.0,2.0,51.0,4,6.0,1,2,1,1,1,25,25,69,0.2545,0.0,0.086,0.0571,T2,False,none,0.75,17.0,0.166667,6.166667,12.5,0.22222,2.361111
32733dd8-fac5-4107-bc35-e6ecc83828a5,4.0,0.4444444444444444,4.0,9182.34,2295.585,1827.2187554769318,89,0,1.0,4.0,10.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.4444444444444444,2295.585,4440.27,0.4835662804905939,147.9188888888889,0.0,0.5,2.0,0.75,23.0,0.0,89.0,4,12.0,1,1,2,1,1,52,52,120,0.1532,0.0,0.1757,0.1412,T2,False,none,1.0,17.25,0.15,8.0,26.0,0.592585,3.05
5ff382b9-8470-46f2-a01b-ee0a6978af9c,5.0,0.5555555555555556,5.0,13762.18,2752.436,2096.7406193137003,90,0,4.0,1.25,8.0,4.0,1.0,0.4,2.0,2.5,4.0,2.0,1.0,0.8,0.5555555555555556,2752.436,4928.08,0.3580886167743773,153.16,3.0,0.4,3.0,0.6,28.0,2.0,38.8,9,15.0,4,2,3,4,2,87,88,99,0.2214,0.0,0.1818,0.1046,T2,False,none,0.6,16.8,0.266667,9.666667,17.4,0.92591,3.511111
098a0eac-6fc0-4efa-b050-7f5a850f01af,1.0,0.1111111111111111,1.0,4744.67,4744.67,0.0,21,0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.1111111111111111,4744.67,4744.67,1.0,0.0,18.0,0.0,1.0,1.0,20.0,2.0,55.0,3,3.0,1,1,1,1,1,35,35,80,0.2171,0.0125,0.1809,0.0448,T2,False,none,1.0,20.0,0.5,7.0,17.5,0.11111,2.833333
cd0005d0-0e60-4406-8bee-6ae57d016367,3.0,0.3333333333333333,3.0,6669.66,2223.22,1543.6490162274583,20,0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.5,7.0,2.0,1.0,0.6666666666666666,0.3333333333333333,2223.22,3471.95,0.5205587691126684,93.60638888888889,0.0,0.3333333333333333,2.0,0.6666666666666666,24.0,0.0,51.333333333333336,5,9.0,1,2,2,1,2,47,47,52,0.5271,0.0577,0.1026,0.0543,T2,False,none,1.5,16.0,0.166667,8.333333,23.5,0.499993,3.333333
846dc7e6-0780-4556-8e0a-d78be1eb65cf,5.0,0.5555555555555556,4.0,11107.43,2221.486,1743.3974193596825,40,0,2.0,2.5,9.0,2.0,1.0,0.6,1.0,5.0,1.0,0.0,0.0,1.0,0.5555555555555556,2221.486,4700.38,0.42317439767795073,137.7602777777778,5.0,0.2,3.0,0.4,28.0,0.0,32.2,6,15.0,2,1,3,2,0,77,77,109,0.1797,0.0,0.1985,0.0683,T2,False,none,0.0,11.2,0.0,9.333333,25.666667,1.388854,3.111111
84c91dbf-a1db-495e-ba51-f547e86e17be,1.0,0.1111111111111111,1.0,297.43,297.43,0.0,67,1,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.1111111111111111,297.43,297.43,1.0,0.0,13.0,0.0,1.0,1.0,21.0,2.0,63.0,3,3.0,1,1,1,1,1,28,28,114,0.1396,0.0,0.1606,0.1401,T2,False,none,1.0,21.0,0.5,7.666667,14.0,0.11111,3.055556
ae22fce3-53c8-463d-b273-6e3db1742f62,5.0,0.5555555555555556,4.0,11408.95,2281.79,1686.2382729169683,70,0,2.0,2.5,12.0,2.0,1.0,0.8,4.0,1.25,8.0,4.0,1.0,0.4,0.5555555555555556,2281.79,4692.99,0.41134284925431347,224.96472222222224,7.0,0.6,2.0,0.6,26.0,1.0,84.6,8,15.0,2,4,2,2,4,78,80,99,0.2214,0.0,0.1818,0.1046,T2,False,none,1.666667,15.6,0.171429,9.0,26.0,0.92591,3.612698
