feature,gene_group,mean_abs_shap,mean_shap,rank
acct_tx_count,Account,6.474648,-6.468128,1
acct_tx_velocity,Account,1.254447,-1.253249,2
tx_velocity,Transaction,0.222379,-0.222166,3
graph_weighted_degree,Graph,0.100378,-0.100288,4
acct_amount_total,Account,0.088418,-0.086665,5
acct_active_days,Account,0.079223,-0.079145,6
graph_degree,Graph,0.03503,-0.028313,7
acct_amount_avg,Account,0.0,0.0,8
dev_unique_count,Device,0.0,0.0,9
dev_tx_per_device,Device,0.0,0.0,10
acct_age_days,Account,0.0,0.0,11
acct_amount_std,Account,0.0,0.0,12
net_unique_ip_count,Network,0.0,0.0,13
net_tx_per_ip,Network,0.0,0.0,14
net_ip_concentration,Network,0.0,0.0,15
tx_amount_mean,Transaction,0.0,0.0,16
tx_amount_max,Transaction,0.0,0.0,17
tx_amount_concentration,Transaction,0.0,0.0,18
dev_concentration,Device,0.0,0.0,19
acct_kyc_unverified,Account,0.0,0.0,20
tx_hour_mode,Transaction,0.0,0.0,21
tx_time_spread_hours,Transaction,0.0,0.0,22
tx_weekend_ratio,Transaction,0.0,0.0,23
merch_unique_count,Merchant,0.0,0.0,24
merch_avg_age_days,Merchant,0.0,0.0,25
dev_max_accts_per_device,Device,0.0,0.0,26
merch_concentration,Merchant,0.0,0.0,27
merch_top_category,Merchant,0.0,0.0,28
dev_shared_ratio,Device,0.0,0.0,29
dev_shared_count,Device,0.0,0.0,30
net_max_accts_per_ip,Network,0.0,0.0,31
net_shared_ip_count,Network,0.0,0.0,32
merch_max_accts_per_merchant,Merchant,0.0,0.0,33
net_shared_ip_ratio,Network,0.0,0.0,34
graph_connected_devices,Graph,0.0,0.0,35
graph_connected_ips,Graph,0.0,0.0,36
graph_connected_merchants,Graph,0.0,0.0,37
graph_shared_devices,Graph,0.0,0.0,38
graph_shared_ips,Graph,0.0,0.0,39
graph_proj_degree,Graph,0.0,0.0,40
graph_proj_weighted_degree,Graph,0.0,0.0,41
graph_community_size,Community,0.0,0.0,42
graph_community_density,Community,0.0,0.0,43
graph_community_shared_device_ratio,Community,0.0,0.0,44
graph_community_shared_ip_ratio,Community,0.0,0.0,45
net_ip_persistence_score,Network,0.0,0.0,46
merch_persistence_score,Merchant,0.0,0.0,47
dev_mutation_score,Device,0.0,0.0,48
relational_stability_score,Other,0.0,0.0,49
topology_drift_score,Other,0.0,0.0,50
behavioral_shift_score,Other,0.0,0.0,51
genome_drift_score,Other,0.0,0.0,52
